Location,Property Type,Bedrooms,Bathrooms,Size (sqm),Amenities,Price (KES),Listing Date,size_sqft,price_per_sqft,amenity_score,month,year,log_price
runda,House,5.0,5.0,518.0,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Golf Course, Hospital, Nearby, Parking, Scenic View, School, Shopping Centre, Staff Quarters, Walk In Closet",155040000,2025-10-21,5575.7002,27806.3730901457,21,10,2025,18.85919370610673
lavington,House,4.0,4.0,284.94117647058823,"Aircon, Alarm, BBQ, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Golf Course, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Shopping Centre, Staff Quarters, Walk In Closet, Wheelchair Access",75000000,2026-02-17,3067.0783294117646,24453.23918883554,23,2,2026,18.132998671500584
lavington,House,5.0,5.0,284.94117647058823,"Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Golf Course, Gym, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Shopping Centre, Staff Quarters, Walk In Closet, Wheelchair Access",100000000,2026-02-16,3067.0783294117646,32604.318918447385,24,2,2026,18.420680743952367
karen,House,5.0,7.0,194.0,"Balcony, Bus Stop, Fibre Internet, Gated Community, Golf Course, Hospital, Nearby, Parking, Scenic View, School, Shopping Centre",130000000,2026-02-14,2088.1965999999998,62254.67467957759,11,2,2026,18.683045008419857
lavington,House,5.0,6.0,284.94117647058823,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Gym, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Service Charge Included, Shopping Centre, Walk In Closet, Wheelchair Access",75000000,2026-02-13,3067.0783294117646,24453.23918883554,24,2,2026,18.132998671500584
lavington,House,5.0,6.0,284.94117647058823,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Golf Course, Gym, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Shopping Centre, Walk In Closet",97000000,2026-01-29,3067.0783294117646,31626.189350893965,22,1,2026,18.390221536467656
runda,House,4.0,5.0,,"BBQ, Balcony, Bus Stop, CCTV, Electric Fence, En Suite, Garden, Gated Community, Golf Course, Gym, Hospital, Kids Play Area, Nearby, Parking, School, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet, Wheelchair Access",115000000,2026-01-27,21.5278,5341929.969620677,20,1,2026,18.560442686327523
loresho,House,6.0,5.0,509.1666666666667,"BBQ, Bus Stop, Electric Fence, Garden, Gated Community, Golf Course, Hospital, Kids Play Area, Nearby, Parking, School, Shopping Centre, Staff Quarters",65000000,2026-01-24,5480.619083333333,11859.974030610198,13,1,2026,17.98989782785991
karen,House,4.0,6.0,194.0,"Aircon, Alarm, BBQ, Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Fibre Internet, Garden, Gated Community, Gym, Hospital, Kids Play Area, Nearby, Parking, School, Shopping Centre, Staff Quarters, Swimming Pool, Walk In Closet, Wheelchair Access",168000000,2026-01-17,2088.1965999999998,80452.19497053104,24,1,2026,18.939474537367534
karen,House,5.0,7.0,,"Bus Stop, CCTV, En Suite, Fibre Internet, Garden, Gated Community, Gym, Hospital, Kids Play Area, Nearby, Parking, Scenic View, School, Shopping Centre, Staff Quarters, Walk In Closet, Wheelchair Access",160000000,2026-01-17,21.5278,7432250.3925157245,17,1,2026,18.890684373198102
other,House,4.0,3.0,,"BBQ, Balcony, Borehole, Bus Stop, Electric Fence, En Suite, Garden, Gated Community, Hospital, Kids Play Area, Nearby, Parking, School, Shopping Centre, Staff Quarters, Wheelchair Access",120000000,2026-01-11,10.7639,11148375.588773586,16,1,2026,18.60300230074632
other,House,4.0,4.0,270.0,"Backup Generator, Garden, Gated Community, Swimming Pool",35900000,2026-01-10,2906.2529999999997,12352.675420894191,4,1,2026,17.396247853458508
kileleshwa,House,5.0,3.0,250.0,"Backup Generator, Balcony, Borehole, Bus Stop, CCTV, Electric Fence, En Suite, Garden, Gated Community, Golf Course, Hospital, Nearby, Parking, School, Shopping Centre, Staff Quarters, Wheelchair Access",55000000,2026-01-08,2690.975,20438.68857941824,17,1,2026,17.822843743196746
