Location,Property Type,Bedrooms,Bathrooms,Size_m2,Amenities,Price_KES,Listing_Date
Kilimani,2 Bedroom Apartment / Flat,14,800.0,120,,14800000,2026-02-17
Kilimani,2 Bedroom Apartment / Flat,9,700.0,105,,9700000,2026-02-17
Kilimani,2 Bedroom Apartment / Flat,11,800.0,110,,11800000,2026-02-17
Kilimani,2 Bedroom Apartment / Flat,12,800.0,113,,12800000,2026-02-17
Kileleshwa,2 Bedroom Apartment / Flat,9,210.0,101,,9210000,2026-02-17
Kileleshwa,2 Bedroom Apartment / Flat,7,150.0,75,,7150000,2026-02-17
Kileleshwa,1 Bedroom Apartment / Flat,5,110.0,65,,5110000,2026-02-17
Kilimani,4 Bedroom Apartment / Flat,26,500.0,230,,26500000,2026-02-17
Kilimani,5 Bedroom Apartment / Flat,28,200.0,260,,28200000,2026-02-17
Kilimani,3 Bedroom Apartment / Flat,15,800.0,130,,15800000,2026-02-17
Westlands,4 Bedroom Apartment / Flat,27,500.0,211,,27500000,2026-02-17
Riverside,2 Bedroom Apartment / Flat,13,600.0,114,,13600000,2026-02-17
Riverside,3 Bedroom Apartment / Flat,21,0.0,174,,21000000,2026-02-17
Riverside,2 Bedroom Apartment / Flat,15,600.0,129,,15600000,2026-02-17
Westlands,2 Bedroom Apartment / Flat,14,0.0,90,,14000000,2026-02-17
Westlands,1 Bedroom Apartment / Flat,8,800.0,64,,8800000,2026-02-17
Westlands,2 Bedroom Apartment / Flat,10,757.0,108,,10757000,2026-02-17
Westlands,3 Bedroom Apartment / Flat,21,714.0,155,,21714000,2026-02-17
Westlands,5 Bedroom Apartment / Flat,35,0.0,266,,35000000,2026-02-17
Westlands,1 Bedroom Apartment / Flat,7,749.0,38,,7749000,2026-02-17
Westlands,2 Bedroom Apartment / Flat,12,0.0,82,,12000000,2026-02-17
Riverside,2 Bedroom Apartment / Flat,10,0.0,84,,10000000,2026-02-17
Westlands,3 Bedroom Apartment / Flat,17,500.0,142,,17500000,2026-02-17
Westlands,1 Bedroom Apartment / Flat,7,0.0,68,,7000000,2026-02-17
Westlands,3 Bedroom Apartment / Flat,24,600.0,155,,24600000,2026-02-17
Westlands,4 Bedroom Apartment / Flat,31,0.0,213,,31000000,2026-02-17
Riverside,1 Bedroom Apartment / Flat,7,200.0,60,,7200000,2026-02-17
Westlands,1 Bedroom Apartment / Flat,8,700.0,58,,8700000,2026-02-17
Westlands,1 Bedroom Apartment / Flat,11,236.0,57,,11236000,2026-02-17
Kilimani,Apartment / Flat,5,500.0,45,,5500000,2026-02-17
Westlands,1 Bedroom Apartment / Flat,6,200.0,57,,6200000,2026-02-17
Westlands,2 Bedroom Apartment / Flat,12,300.0,107,,12300000,2026-02-17
Westlands,1 Bedroom Apartment / Flat,9,0.0,67,,9000000,2026-02-17
Kilimani,5 Bedroom Apartment / Flat,62,500.0,445,,62500000,2026-02-17
Kilimani,5 Bedroom Apartment / Flat,33,500.0,302,,33500000,2026-02-17
Kilimani,5 Bedroom Apartment / Flat,52,500.0,359,,52500000,2026-02-17
Kilimani,4 Bedroom Apartment / Flat,42,500.0,276,,42500000,2026-02-17
Kilimani,3 Bedroom Apartment / Flat,22,500.0,202,,22500000,2026-02-17
